"","external_gene_name","geneid","log2foldchange","logCPM","F","PValue","p.val_adj","color"
"1","SNORD17","ENSG00000212232",-6.78683438488811,3.71944596340029,161.063547826742,6.21468801432572e-27,1.33646865748075e-22,"Downregulated"
"2","TNNT1","ENSG00000105048",-6.10586921786352,4.7333704113415,128.948802509954,5.55241454296062e-23,1.19404674746368e-18,"Downregulated"
"3","TCAP","ENSG00000173991",-5.98890565335767,4.48629924911899,170.716917041474,5.2036273864177e-28,1.11904006944913e-23,"Downregulated"
"4","NRAP","ENSG00000197893",-5.32969202351072,3.89998094473227,112.032231857875,9.6390287118977e-21,2.0728731244936e-16,"Downregulated"
"5","CA3","ENSG00000164879",-5.31328717911281,3.81060717893058,159.797613960414,9.39018200184388e-27,2.01935863949653e-22,"Downregulated"
"6","CST1","ENSG00000170373",-5.22250959179772,6.06389989573065,114.247033185825,4.51734704167497e-21,9.71455481312202e-17,"Downregulated"
"7","SPINK1","ENSG00000164266",-5.10540157146394,3.83378311375506,182.340242868205,2.57538676025118e-29,5.53836922792017e-25,"Downregulated"
"8","ACTA1","ENSG00000143632",-4.97276932255063,5.0373907057187,110.070277405196,1.68813612116197e-20,3.63033672855882e-16,"Downregulated"
"9","IGF2","ENSG00000167244",-4.9702658106405,2.08032706289822,134.070324132456,1.24140485751712e-23,2.66964114609056e-19,"Downregulated"
"10","CKM","ENSG00000104879",-4.87376294730705,4.39613502831481,127.883255217277,7.25132063922601e-23,1.55939650346555e-18,"Downregulated"
"11","RN7SL1","ENSG00000276168",-4.78927800179753,8.8156128447913,133.188817839463,1.47360146563277e-23,3.16897995184326e-19,"Downregulated"
"12","TNNC1","ENSG00000114854",-4.74631951782043,4.23017186076213,157.271041819217,1.71344525992179e-26,3.6847640314618e-22,"Downregulated"
"13","XIRP1","ENSG00000168334",-4.6656469583349,1.64593021856055,140.37794452329,1.88814885471288e-24,4.06046411206005e-20,"Downregulated"
"14","ODAM","ENSG00000109205",-4.65403802627596,1.35200539926912,182.679748212045,1.64821317449767e-29,3.54448243175724e-25,"Downregulated"
"15",NA,"ENSG00000228561",-4.5785466111962,0.119283111475406,243.265343007686,7.17318807537925e-38,1.54259409561031e-33,"Downregulated"
"16","ACTN2","ENSG00000077522",-4.56857366861628,3.80644310380251,111.297268437712,1.17183413995365e-20,2.52002931797033e-16,"Downregulated"
"17","KLHL41","ENSG00000239474",-4.37805777717504,2.76714904502874,157.532640206191,1.76468700877103e-26,3.7949594123621e-22,"Downregulated"
"18","MYOM3","ENSG00000142661",-4.37208817795096,1.79494011784468,152.447235040196,7.37807342228295e-26,1.58665468946195e-21,"Downregulated"
"19","TNNT3","ENSG00000130595",-4.33359682474785,0.812642997048766,161.142211231477,3.38582730808304e-27,7.28122162603258e-23,"Downregulated"
"20","SNORA73B","ENSG00000200087",-4.28528760734754,3.34290809537627,109.161187486227,2.32073646789745e-20,4.99074377421347e-16,"Downregulated"
"21","DACH2","ENSG00000126733",-4.16765682983426,1.09248914310148,139.089007419858,2.58611349571646e-24,5.56143707253824e-20,"Downregulated"
"22","MYL3","ENSG00000160808",-4.14711181663098,2.04251808188382,146.88026879708,3.47395065246916e-25,7.47073087813493e-21,"Downregulated"
"23","RLN2","ENSG00000107014",-4.03873571368409,3.52818105241085,142.913754391385,9.23748500514271e-25,1.98652115035594e-20,"Downregulated"
"24",NA,"ENSG00000235140",-4.02160923428768,0.939826724152421,140.911746944486,1.51006939156284e-24,3.24740422655589e-20,"Downregulated"
"25","LINC01087","ENSG00000224559",-3.99175956529942,0.1797161509632,143.451762692633,2.71699797834338e-25,5.84290415242743e-21,"Downregulated"
"26","MYOT","ENSG00000120729",-3.82766385119914,0.579808925685448,112.063295807707,7.77364441913886e-21,1.67172223233581e-16,"Downregulated"
"27",NA,"ENSG00000224099",-3.76370738858963,4.38960392939051,40.2670124629279,1.66257373960204e-09,3.57536482701418e-05,"Downregulated"
"28","VGLL3","ENSG00000206538",-3.72430107510094,6.30584880858959,140.441447400375,1.80598462556521e-24,3.88376993727799e-20,"Downregulated"
"29","SERPINA4","ENSG00000100665",-3.71864856752849,0.706674001859911,96.2023810111422,1.48160289908675e-18,3.18618703448607e-14,"Downregulated"
"30","SCARNA21","ENSG00000252835",-3.65203379516347,-0.15218808057081,124.346677327627,8.49860801624665e-23,1.82762565389384e-18,"Downregulated"
"31","MYL11","ENSG00000180209",-3.62713514654985,0.349750211770421,141.36402316276,1.08271955991788e-24,2.3283884136034e-20,"Downregulated"
"32","MYH3","ENSG00000109063",-3.60046056535326,4.56839891768848,165.962653248562,1.60826117494954e-27,3.45856565672899e-23,"Downregulated"
"33","TG","ENSG00000042832",-3.54896783550403,5.31336289981599,65.0478877399951,8.91450009030669e-14,1.91706324442045e-09,"Downregulated"
"34","TNNI2","ENSG00000130598",-3.54707593538167,0.49897651250205,155.54596485027,2.4857110529824e-26,5.34552161943864e-22,"Downregulated"
"35","TNNI1","ENSG00000159173",-3.51256567858199,4.48217072454026,154.563217425414,3.47383744333194e-26,7.47048742188535e-22,"Downregulated"
"36","DSCAM-AS1","ENSG00000235123",-3.51242540476359,2.94687120020802,67.1364689240588,4.13605126304998e-14,8.89457824118898e-10,"Downregulated"
"37","RLN1","ENSG00000107018",-3.46475306075271,6.43480737372324,59.0241019136921,8.80535764249703e-13,1.89359216101899e-08,"Downregulated"
"38","CASQ1","ENSG00000143318",-3.42817846844297,1.86462582515516,123.381990807384,3.02368053416555e-22,6.50242498872302e-18,"Downregulated"
"39","PIP","ENSG00000159763",-3.41157343078606,2.85293601525817,74.6681209855581,2.62529569512629e-15,5.64569839236908e-11,"Downregulated"
"40","CST4","ENSG00000101441",-3.33342180658609,0.606536921320474,77.9515250611334,8.28779088752364e-16,1.78228943036196e-11,"Downregulated"
"41",NA,"ENSG00000265413",-3.32876116528419,0.865580057884808,170.418304007306,6.09028637106911e-28,1.30971608409841e-23,"Downregulated"
"42","PON1","ENSG00000005421",-3.32532908947397,1.95629598549047,55.6539291817923,3.34162444336921e-12,7.18616336546549e-08,"Downregulated"
"43","STAP1","ENSG00000035720",-3.32400993789125,1.66319002429922,134.47910052789,1.14965053425191e-23,2.47232347390873e-19,"Downregulated"
"44","MIR133A1HG","ENSG00000265142",-3.31641077906041,-0.557785737467802,144.66723874314,1.36485410771054e-25,2.93511875863151e-21,"Downregulated"
"45","PAH","ENSG00000171759",-3.30414144232519,1.24788729326205,90.0942303539574,1.27515944668008e-17,2.74223039008551e-13,"Downregulated"
"46","KCNJ16","ENSG00000153822",-3.30321913832961,0.215011220402957,82.6134785256615,1.46435488743609e-16,3.1490951854313e-12,"Downregulated"
"47","SLC26A3","ENSG00000091138",-3.26246808085873,3.3429221582332,63.0849319194403,1.87729547541416e-13,4.03712391987815e-09,"Downregulated"
"48","MYBPC2","ENSG00000086967",-3.22131119910185,0.483447754202303,101.737724817982,2.56799974911694e-19,5.52248346047599e-15,"Downregulated"
"49","FAR2P4","ENSG00000231431",-3.20295598412321,2.36719708893657,147.453125900466,2.64147728770789e-25,5.68049690721582e-21,"Downregulated"
"50","HAO1","ENSG00000101323",-3.18950325676984,0.476708705380127,90.9037634157467,9.33094499062461e-18,2.00661972023382e-13,"Downregulated"
"51",NA,"ENSG00000204434",-3.18920979989271,-0.223112214352208,139.074804496542,1.63977894811756e-24,3.52634462792681e-20,"Downregulated"
"52","PRIM2BP","ENSG00000283453",-3.18456267111569,0.56202359357524,88.8693394774972,1.88880803926168e-17,4.06188168843225e-13,"Downregulated"
"53","PTPRQ","ENSG00000139304",-3.17677140882328,0.834729587558469,98.7005055569879,7.26277828873407e-19,1.56186047099226e-14,"Downregulated"
"54","RPL3L","ENSG00000140986",-3.13581245298223,0.439950870042097,141.523348049737,1.46831089165789e-24,3.15760257251029e-20,"Downregulated"
